L,a,b,term
81.35,-19.64,-4.3,W
51.57,55.2,68.32,J
20.54,24.14,-14.33,TS
81.35,-33.04,4.96,TC
81.35,14.87,30.96,L
61.7,-46.97,64.65,TC
41.22,22.15,41.13,L
20.54,7.63,-35.92,TJ
20.54,-16.13,-4.67,W
81.35,-10.94,87.9,J
20.54,-27.79,7.33,W
81.35,18.74,-12.74,T1
81.35,-0.05,0.06,N
61.7,46.38,35.47,J
20.54,-1.74,11.57,NT
51.57,-56.86,49.22,C
91.08,-5.25,45.24,J
51.57,31.24,-29.94,T
30.77,-0.15,26.58,L
30.77,7.86,-43.39,TJ
71.6,-41.95,14.43,TC
51.57,29.45,64.44,J
61.7,37.1,-18.34,T1
71.6,-40.28,53.23,TC
71.6,38.22,29.22,J
20.54,-26.87,1.22,C
41.22,-38.39,31.53,C
30.77,52.68,34.06,WE
61.7,-1.4,71.61,W
61.7,-51.58,26.3,C
20.54,-17.35,7.46,C
61.7,14.45,76.93,J
20.54,22.74,-16.65,TS
30.77,9.51,37.16,JU
91.08,-12.29,10.56,C
41.22,-33.18,41.15,TC
81.35,21.06,22.4,L
30.77,-22.84,-15.29,W
51.57,-0.48,57.27,J
20.54,-11.72,-12.03,C
30.77,46.08,20.6,JU
71.6,32.18,12.57,T1
91.08,1.28,14.41,N
81.35,-33.8,12.41,C
41.22,-9.31,43.05,W
20.54,36.82,3.13,JU
41.22,-53.43,8.61,C
30.77,36.9,-32.14,T
20.54,-16.46,11.28,W
51.57,40.53,69.04,J
30.77,-0.02,0.03,NT
61.7,-30.13,65.11,TC
71.6,-39.21,-4.56,C
91.08,-0.46,29.79,J
51.57,-52.87,15.46,C
20.54,-4.47,9.36,NT
41.22,46.93,-24.7,TS
15.6,-0.02,0.02,NT
20.54,-15.07,-7.11,W
71.6,-24.87,85.15,TC
91.08,3.14,12.37,N
20.54,3.62,11.09,JU
91.08,-13.24,5.48,W
81.35,-3.69,100.18,J
30.77,28.36,-39.75,T
41.22,61.4,17.92,WE
71.6,16.13,-17.52,T
81.35,-21.19,-1.35,C
30.77,46.25,-9.51,TS
41.22,-4.87,43.26,W
41.22,36.48,-25.75,TS
91.08,-12.17,45.9,J
91.08,3.36,-4.24,N
91.08,-12.69,1.23,C
41.22,20.81,-48.05,TJ
71.6,15.62,90.72,J
30.77,-13.04,21.97,W
20.54,-0.11,12.03,JU
30.77,-25.67,-10.89,W
30.77,47.34,12.58,WE
20.54,13.28,18.21,JU
61.7,-51.88,5.51,C
91.08,1.12,-5.38,N
61.7,49.15,56.82,J
41.22,-53.57,23.28,C
81.35,-30.49,65.57,TC
61.7,44.69,79.79,J
20.54,-17.18,-1.47,W
81.35,-17.25,87.99,TC
91.08,5.53,2.22,N
30.77,-6.44,26.57,W
30.77,39.78,-27.99,TS
41.22,51.06,58.81,WE
30.77,-39.62,10.61,C
20.54,15.99,14.49,L
30.77,-23.96,27.29,C
96,-0.06,0.06,N
81.35,3.22,-14.27,N
71.6,-34.49,79.15,TC
20.54,23.12,-31.33,T
71.6,-41.54,5.41,C
71.6,-2.3,85.64,J
61.7,-41.11,0.19,C
41.22,59.5,30.17,WE
81.35,-38.45,34.02,TC
20.54,29.26,-25.01,TS
30.77,3.1,25.71,L
41.22,-52.68,3.36,C
30.77,13.89,33.8,JU
91.08,-0.37,-5.58,N
81.35,14.98,47.04,J
71.6,-41.85,9.77,C
41.22,-14.57,40.52,W
20.54,-9.22,-24.04,TJ
30.77,-49.93,6.94,C
20.54,-13.39,-9.92,W
41.22,-19.48,36.56,C
91.08,-1.49,-5.61,N
61.7,49.67,10.71,T1
81.35,15.1,90.21,J
91.08,-16.65,44.66,J
30.77,0.29,-43.03,TJ
20.54,35.15,15.44,JU
61.7,-52.22,16.26,C
61.7,5.87,68.59,J
20.54,36.42,-2.08,TS
41.22,4.42,40.43,L
41.22,33.08,-30.5,T
51.57,19.79,58.75,J
71.6,24.12,84.39,J
81.35,23.53,-0.96,T1
41.22,-39.09,-8.33,C
51.57,27.4,-33.72,TS
71.6,-15.98,87.62,TC
20.54,36.64,9.24,JU
51.57,-40.14,52.84,C
61.7,23.29,-23.79,TS
20.54,-3.09,10.75,NT
91.08,-13.13,7.63,C
51.57,-63.28,28.95,C
20.54,10.16,21.44,L
41.22,24.29,-38.02,TJ
91.08,-10.76,13.38,W
51.57,13.12,63.99,J
30.77,-27.32,-6.72,C
20.54,25.15,16.6,JU
71.6,32.89,77.02,J
71.6,10.25,-21.6,TS
81.35,-26.04,85.63,TC
30.77,-10.05,24.97,W
61.7,-14.02,73.17,TC
51.57,14.19,-39.14,TJ
91.08,-10.86,-2.13,C
41.22,29.49,-34.06,TS
51.57,-51.99,4.46,C
91.08,5.04,-1.14,N
51.57,-6.4,58.71,W
